2026-08-18 12:22:12.8|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:12.8|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:12.8|Info|DiskScanService|Scanning disk for Land of Bad
2026-08-18 12:22:12.8|Info|DiskScanService|Completed scanning disk for Land of Bad
2026-08-18 12:22:12.8|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:12.8|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:12.8|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:12.8|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:12.8|Info|DiskScanService|Scanning disk for Miller's Girl
2026-08-18 12:22:12.8|Info|DiskScanService|Completed scanning disk for Miller's Girl
2026-08-18 12:22:12.8|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:12.8|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:12.8|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:12.8|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:12.9|Info|RefreshMovieService|Updating info for Toy Story 4
2026-08-18 12:22:13.5|Info|DiskScanService|Scanning disk for Toy Story 4
2026-08-18 12:22:13.5|Info|DiskScanService|Completed scanning disk for Toy Story 4
2026-08-18 12:22:13.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:13.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:13.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:13.5|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:13.5|Info|RefreshMovieService|Updating info for Toy Story 3
2026-08-18 12:22:14.8|Info|DiskScanService|Scanning disk for Toy Story 3
2026-08-18 12:22:14.8|Info|DiskScanService|Completed scanning disk for Toy Story 3
2026-08-18 12:22:14.8|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:14.8|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:14.8|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:14.8|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:14.8|Info|RefreshMovieService|Updating info for Toy Story 2
2026-08-18 12:22:16.5|Info|DiskScanService|Scanning disk for Toy Story 2
2026-08-18 12:22:16.5|Info|DiskScanService|Completed scanning disk for Toy Story 2
2026-08-18 12:22:16.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:16.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:16.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:16.5|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:16.5|Info|RefreshMovieService|Updating info for Toy Story
2026-08-18 12:22:17.6|Info|DiskScanService|Scanning disk for Toy Story
2026-08-18 12:22:17.6|Info|DiskScanService|Completed scanning disk for Toy Story
2026-08-18 12:22:17.7|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:17.7|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:17.7|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:17.7|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:17.7|Info|DiskScanService|Scanning disk for No Hard Feelings
2026-08-18 12:22:17.7|Info|DiskScanService|Completed scanning disk for No Hard Feelings
2026-08-18 12:22:17.7|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:17.7|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:17.7|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:17.7|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:17.7|Info|RefreshMovieService|Updating info for Sonic the Hedgehog 3
2026-08-18 12:22:19.3|Info|DiskScanService|Scanning disk for Sonic the Hedgehog 3
2026-08-18 12:22:19.3|Info|DiskScanService|Completed scanning disk for Sonic the Hedgehog 3
2026-08-18 12:22:19.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:19.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:19.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:19.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:19.3|Info|DiskScanService|Scanning disk for Sonic the Hedgehog
2026-08-18 12:22:19.3|Info|DiskScanService|Completed scanning disk for Sonic the Hedgehog
2026-08-18 12:22:19.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:19.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:19.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:19.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:19.3|Info|DiskScanService|Scanning disk for Sonic the Hedgehog 2
2026-08-18 12:22:19.3|Info|DiskScanService|Completed scanning disk for Sonic the Hedgehog 2
2026-08-18 12:22:19.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:19.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:19.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:19.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:19.3|Info|DiskScanService|Scanning disk for Man of Steel
2026-08-18 12:22:19.3|Info|DiskScanService|Completed scanning disk for Man of Steel
2026-08-18 12:22:19.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:19.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:19.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:19.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:19.3|Info|DiskScanService|Scanning disk for The Gleiwitz Case
2026-08-18 12:22:19.3|Info|DiskScanService|Completed scanning disk for The Gleiwitz Case
2026-08-18 12:22:19.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:19.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:19.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:19.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:19.3|Info|MetadataService|Movie folder does not exist, skipping metadata creation
2026-08-18 12:22:19.3|Info|DiskScanService|Scanning disk for American Underdog
2026-08-18 12:22:19.3|Info|DiskScanService|Completed scanning disk for American Underdog
2026-08-18 12:22:19.3|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:19.3|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:19.3|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:19.3|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:19.3|Info|RefreshMovieService|Updating info for Schindler's List
2026-08-18 12:22:20.9|Info|DiskScanService|Scanning disk for Schindler's List
2026-08-18 12:22:20.9|Info|DiskScanService|Completed scanning disk for Schindler's List
2026-08-18 12:22:20.9|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:20.9|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:20.9|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:20.9|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:20.9|Info|DiskScanService|Scanning disk for Sully
2026-08-18 12:22:20.9|Info|DiskScanService|Completed scanning disk for Sully
2026-08-18 12:22:20.9|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:20.9|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:20.9|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:20.9|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:20.9|Info|DiskScanService|Scanning disk for Cleveland Abduction
2026-08-18 12:22:20.9|Info|DiskScanService|Completed scanning disk for Cleveland Abduction
2026-08-18 12:22:20.9|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:20.9|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:20.9|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:20.9|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:20.9|Info|DiskScanService|Scanning disk for Top Gun: Maverick
2026-08-18 12:22:20.9|Info|DiskScanService|Completed scanning disk for Top Gun: Maverick
2026-08-18 12:22:20.9|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:20.9|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:20.9|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:20.9|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:20.9|Info|DiskScanService|Scanning disk for Take the Lead
2026-08-18 12:22:20.9|Info|DiskScanService|Completed scanning disk for Take the Lead
2026-08-18 12:22:20.9|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:21.0|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:21.0|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:21.0|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:21.0|Info|DiskScanService|Scanning disk for Tom and Jerry: Forbidden Compass
2026-08-18 12:22:21.0|Info|DiskScanService|Completed scanning disk for Tom and Jerry: Forbidden Compass
2026-08-18 12:22:21.0|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:21.0|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:21.0|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:21.0|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:21.0|Info|RefreshMovieService|Updating info for Minions & Monsters
2026-08-18 12:22:22.5|Info|DiskScanService|Scanning disk for Minions & Monsters
2026-08-18 12:22:22.5|Info|DiskScanService|Completed scanning disk for Minions & Monsters
2026-08-18 12:22:22.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:22.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:22.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
2026-08-18 12:22:22.5|Info|ExistingExtraFileService|Found 0 possible extra files, imported 0 files.
2026-08-18 12:22:22.5|Info|DiskScanService|Scanning disk for The Secret Life of Pets
2026-08-18 12:22:22.5|Info|DiskScanService|Completed scanning disk for The Secret Life of Pets
2026-08-18 12:22:22.5|Info|ExistingMetadataImporter|Found 0 existing metadata files
2026-08-18 12:22:22.5|Info|ExistingSubtitleImporter|Found 0 existing subtitle files
2026-08-18 12:22:22.5|Info|ExistingOtherExtraImporter|Found 0 existing other extra files
